branch_id,model,feature_subset,data_branch,tuning_method,augmentation_strategy,n_folds_tuned,params_stable_across_folds,best_cv_score_mae,best_params,best_params_full_data,cv_strategy
SOLO_A_A_CT_grid_feature_noise,ElasticNet,SOLO_A,A,grid,feature_noise,10,False,29.79408744260661,"[{""model__alpha"": 0.1, ""model__l1_ratio"": 0.1}, {""model__alpha"": 1, ""model__l1_ratio"": 0.5}, {""model__alpha"": 1, ""model__l1_ratio"": 0.9}, {""model__alpha"": 0.1, ""model__l1_ratio"": 0.7}, {""model__alpha"": 10, ""model__l1_ratio"": 0.5}, {""model__alpha"": 0.1, ""model__l1_ratio"": 0.7}, {""model__alpha"": 0.01, ""model__l1_ratio"": 0.9}, {""model__alpha"": 10, ""model__l1_ratio"": 0.3}, {""model__alpha"": 1, ""model__l1_ratio"": 0.3}, {""model__alpha"": 10, ""model__l1_ratio"": 0.3}]","{""model__alpha"": 1, ""model__l1_ratio"": 0.5}",NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_CT_grid_feature_noise,SVR,SOLO_A,A,grid,feature_noise,10,False,44.00865210089633,"[{""model__C"": 100, ""model__epsilon"": 10, ""model__gamma"": ""scale""}, {""model__C"": 100, ""model__epsilon"": 10, ""model__gamma"": ""scale""}, {""model__C"": 100, ""model__epsilon"": 10, ""model__gamma"": ""scale""}, {""model__C"": 1, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}, {""model__C"": 100, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}, {""model__C"": 100, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}, {""model__C"": 0.1, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}, {""model__C"": 0.1, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}, {""model__C"": 100, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}, {""model__C"": 100, ""model__epsilon"": 10, ""model__gamma"": ""scale""}]","{""model__C"": 100, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}",NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_CT_grid_feature_noise,RandomForest,SOLO_A,A,grid,feature_noise,10,False,43.53711916666666,"[{""model__max_depth"": 3, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 50}, {""model__max_depth"": 5, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 100}, {""model__max_depth"": 3, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 50}, {""model__max_depth"": 2, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 50}, {""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}, {""model__max_depth"": 3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}, {""model__max_depth"": 2, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}, {""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 200}, {""model__max_depth"": 5, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}, {""model__max_depth"": 3, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}]","{""model__max_depth"": 3, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_CT_grid_feature_noise,XGBoost,SOLO_A,A,grid,feature_noise,10,False,39.69814353942871,"[{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.01, ""model__max_depth"": 2, ""model__n_estimators"": 100, ""model__reg_lambda"": 10, ""model__subsample"": 0.8}, {""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__n_estimators"": 200, ""model__reg_lambda"": 10, ""model__subsample"": 0.8}, {""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.01, ""model__max_depth"": 2, ""model__n_estimators"": 50, ""model__reg_lambda"": 10, ""model__subsample"": 0.8}, {""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__n_estimators"": 100, ""model__reg_lambda"": 5, ""model__subsample"": 0.8}, {""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__n_estimators"": 200, ""model__reg_lambda"": 5, ""model__subsample"": 0.8}, {""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__n_estimators"": 50, ""model__reg_lambda"": 10, ""model__subsample"": 0.8}, {""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 5, ""model__subsample"": 0.8}, {""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 5, ""model__subsample"": 0.8}, {""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__n_estimators"": 50, ""model__reg_lambda"": 10, ""model__subsample"": 0.8}, {""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 5, ""model__subsample"": 0.8}]","{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 5, ""model__subsample"": 0.8}",NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_CT_grid_feature_noise,MLP,SOLO_A,A,none,feature_noise,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_CT_grid_feature_noise,BNN,SOLO_A,A,none,feature_noise,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_ST_feature_scaling,DummyRegressor,SOLO_A,A,none,feature_scaling,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_ST_feature_scaling,Ridge,SOLO_A,A,none,feature_scaling,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_ST_feature_scaling,Lasso,SOLO_A,A,none,feature_scaling,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_ST_feature_scaling,ElasticNet,SOLO_A,A,none,feature_scaling,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_ST_feature_scaling,SVR,SOLO_A,A,none,feature_scaling,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_ST_feature_scaling,RandomForest,SOLO_A,A,none,feature_scaling,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_ST_feature_scaling,XGBoost,SOLO_A,A,none,feature_scaling,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_ST_feature_scaling,MLP,SOLO_A,A,none,feature_scaling,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_ST_feature_scaling,BNN,SOLO_A,A,none,feature_scaling,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_CT_random_feature_scaling,DummyRegressor,SOLO_A,A,none,feature_scaling,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_CT_random_feature_scaling,Ridge,SOLO_A,A,random,feature_scaling,10,False,38.21709670662106,"[{""model__alpha"": 0.01}, {""model__alpha"": 10}, {""model__alpha"": 100}, {""model__alpha"": 0.01}, {""model__alpha"": 100}, {""model__alpha"": 0.01}, {""model__alpha"": 100}, {""model__alpha"": 100}, {""model__alpha"": 10}, {""model__alpha"": 100}]","{""model__alpha"": 10}",NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_CT_random_feature_scaling,Lasso,SOLO_A,A,random,feature_scaling,10,False,33.18575329707727,"[{""model__alpha"": 0.001}, {""model__alpha"": 0.001}, {""model__alpha"": 0.001}, {""model__alpha"": 0.001}, {""model__alpha"": 0.01}, {""model__alpha"": 10}, {""model__alpha"": 0.001}, {""model__alpha"": 0.01}, {""model__alpha"": 0.01}, {""model__alpha"": 0.001}]","{""model__alpha"": 0.01}",NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_CT_random_feature_scaling,ElasticNet,SOLO_A,A,random,feature_scaling,10,False,29.79408744260661,"[{""model__l1_ratio"": 0.1, ""model__alpha"": 0.1}, {""model__l1_ratio"": 0.5, ""model__alpha"": 1}, {""model__l1_ratio"": 0.9, ""model__alpha"": 1}, {""model__l1_ratio"": 0.7, ""model__alpha"": 0.1}, {""model__l1_ratio"": 0.5, ""model__alpha"": 10}, {""model__l1_ratio"": 0.7, ""model__alpha"": 0.1}, {""model__l1_ratio"": 0.9, ""model__alpha"": 0.01}, {""model__l1_ratio"": 0.3, ""model__alpha"": 10}, {""model__l1_ratio"": 0.3, ""model__alpha"": 1}, {""model__l1_ratio"": 0.3, ""model__alpha"": 10}]","{""model__l1_ratio"": 0.5, ""model__alpha"": 1}",NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_CT_random_feature_scaling,SVR,SOLO_A,A,random,feature_scaling,10,False,43.9436538280228,"[{""model__gamma"": ""auto"", ""model__epsilon"": 10, ""model__C"": 100}, {""model__gamma"": ""auto"", ""model__epsilon"": 10, ""model__C"": 100}, {""model__gamma"": ""auto"", ""model__epsilon"": 10, ""model__C"": 100}, {""model__gamma"": ""scale"", ""model__epsilon"": 0.1, ""model__C"": 1}, {""model__gamma"": ""auto"", ""model__epsilon"": 0.1, ""model__C"": 100}, {""model__gamma"": 0.01, ""model__epsilon"": 0.1, ""model__C"": 100}, {""model__gamma"": 0.1, ""model__epsilon"": 0.1, ""model__C"": 0.1}, {""model__gamma"": 0.1, ""model__epsilon"": 0.1, ""model__C"": 0.1}, {""model__gamma"": 0.01, ""model__epsilon"": 0.1, ""model__C"": 100}, {""model__gamma"": ""auto"", ""model__epsilon"": 10, ""model__C"": 100}]","{""model__gamma"": 0.01, ""model__epsilon"": 0.1, ""model__C"": 100}",NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_CT_random_feature_scaling,RandomForest,SOLO_A,A,random,feature_scaling,10,False,43.546858214285706,"[{""model__n_estimators"": 50, ""model__min_samples_leaf"": 3, ""model__max_depth"": 3}, {""model__n_estimators"": 100, ""model__min_samples_leaf"": 3, ""model__max_depth"": 3}, {""model__n_estimators"": 50, ""model__min_samples_leaf"": 1, ""model__max_depth"": 3}, {""model__n_estimators"": 50, ""model__min_samples_leaf"": 1, ""model__max_depth"": 2}, {""model__n_estimators"": 50, ""model__min_samples_leaf"": 2, ""model__max_depth"": null}, {""model__n_estimators"": 50, ""model__min_samples_leaf"": 2, ""model__max_depth"": null}, {""model__n_estimators"": 200, ""model__min_samples_leaf"": 2, ""model__max_depth"": 2}, {""model__n_estimators"": 200, ""model__min_samples_leaf"": 2, ""model__max_depth"": 2}, {""model__n_estimators"": 200, ""model__min_samples_leaf"": 1, ""model__max_depth"": null}, {""model__n_estimators"": 100, ""model__min_samples_leaf"": 1, ""model__max_depth"": 5}]","{""model__n_estimators"": 200, ""model__min_samples_leaf"": 1, ""model__max_depth"": 3}",NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_CT_random_feature_scaling,XGBoost,SOLO_A,A,random,feature_scaling,10,False,38.50639671325683,"[{""model__subsample"": 0.6, ""model__reg_lambda"": 10, ""model__n_estimators"": 100, ""model__max_depth"": 1, ""model__learning_rate"": 0.01, ""model__colsample_bytree"": 0.8}, {""model__subsample"": 0.6, ""model__reg_lambda"": 5, ""model__n_estimators"": 100, ""model__max_depth"": 3, ""model__learning_rate"": 0.05, ""model__colsample_bytree"": 1.0}, {""model__subsample"": 0.8, ""model__reg_lambda"": 5, ""model__n_estimators"": 30, ""model__max_depth"": 3, ""model__learning_rate"": 0.01, ""model__colsample_bytree"": 1.0}, {""model__subsample"": 0.8, ""model__reg_lambda"": 1, ""model__n_estimators"": 100, ""model__max_depth"": 1, ""model__learning_rate"": 0.1, ""model__colsample_bytree"": 0.8}, {""model__subsample"": 0.6, ""model__reg_lambda"": 5, ""model__n_estimators"": 100, ""model__max_depth"": 2, ""model__learning_rate"": 0.1, ""model__colsample_bytree"": 0.5}, {""model__subsample"": 0.6, ""model__reg_lambda"": 5, ""model__n_estimators"": 100, ""model__max_depth"": 2, ""model__learning_rate"": 0.1, ""model__colsample_bytree"": 0.5}, {""model__subsample"": 0.6, ""model__reg_lambda"": 5, ""model__n_estimators"": 100, ""model__max_depth"": 3, ""model__learning_rate"": 0.05, ""model__colsample_bytree"": 1.0}, {""model__subsample"": 0.8, ""model__reg_lambda"": 1, ""model__n_estimators"": 100, ""model__max_depth"": 1, ""model__learning_rate"": 0.1, ""model__colsample_bytree"": 0.8}, {""model__subsample"": 1.0, ""model__reg_lambda"": 1, ""model__n_estimators"": 100, ""model__max_depth"": 3, ""model__learning_rate"": 0.01, ""model__colsample_bytree"": 1.0}, {""model__subsample"": 0.8, ""model__reg_lambda"": 1, ""model__n_estimators"": 100, ""model__max_depth"": 1, ""model__learning_rate"": 0.1, ""model__colsample_bytree"": 0.8}]","{""model__subsample"": 0.8, ""model__reg_lambda"": 1, ""model__n_estimators"": 100, ""model__max_depth"": 1, ""model__learning_rate"": 0.1, ""model__colsample_bytree"": 0.8}",NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_CT_random_feature_scaling,MLP,SOLO_A,A,none,feature_scaling,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_CT_random_feature_scaling,BNN,SOLO_A,A,none,feature_scaling,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_CT_grid_feature_scaling,DummyRegressor,SOLO_A,A,none,feature_scaling,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_CT_grid_feature_scaling,Ridge,SOLO_A,A,grid,feature_scaling,10,False,38.21709670662106,"[{""model__alpha"": 0.01}, {""model__alpha"": 10}, {""model__alpha"": 100}, {""model__alpha"": 0.01}, {""model__alpha"": 100}, {""model__alpha"": 0.01}, {""model__alpha"": 100}, {""model__alpha"": 100}, {""model__alpha"": 10}, {""model__alpha"": 100}]","{""model__alpha"": 10}",NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_CT_grid_feature_scaling,Lasso,SOLO_A,A,grid,feature_scaling,10,False,33.18575329707727,"[{""model__alpha"": 0.001}, {""model__alpha"": 0.001}, {""model__alpha"": 0.001}, {""model__alpha"": 0.001}, {""model__alpha"": 0.01}, {""model__alpha"": 10}, {""model__alpha"": 0.001}, {""model__alpha"": 0.01}, {""model__alpha"": 0.01}, {""model__alpha"": 0.001}]","{""model__alpha"": 0.01}",NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_CT_grid_feature_scaling,ElasticNet,SOLO_A,A,grid,feature_scaling,10,False,29.79408744260661,"[{""model__alpha"": 0.1, ""model__l1_ratio"": 0.1}, {""model__alpha"": 1, ""model__l1_ratio"": 0.5}, {""model__alpha"": 1, ""model__l1_ratio"": 0.9}, {""model__alpha"": 0.1, ""model__l1_ratio"": 0.7}, {""model__alpha"": 10, ""model__l1_ratio"": 0.5}, {""model__alpha"": 0.1, ""model__l1_ratio"": 0.7}, {""model__alpha"": 0.01, ""model__l1_ratio"": 0.9}, {""model__alpha"": 10, ""model__l1_ratio"": 0.3}, {""model__alpha"": 1, ""model__l1_ratio"": 0.3}, {""model__alpha"": 10, ""model__l1_ratio"": 0.3}]","{""model__alpha"": 1, ""model__l1_ratio"": 0.5}",NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_CT_grid_feature_scaling,SVR,SOLO_A,A,grid,feature_scaling,10,False,44.00865210089633,"[{""model__C"": 100, ""model__epsilon"": 10, ""model__gamma"": ""scale""}, {""model__C"": 100, ""model__epsilon"": 10, ""model__gamma"": ""scale""}, {""model__C"": 100, ""model__epsilon"": 10, ""model__gamma"": ""scale""}, {""model__C"": 1, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}, {""model__C"": 100, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}, {""model__C"": 100, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}, {""model__C"": 0.1, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}, {""model__C"": 0.1, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}, {""model__C"": 100, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}, {""model__C"": 100, ""model__epsilon"": 10, ""model__gamma"": ""scale""}]","{""model__C"": 100, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}",NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_CT_grid_feature_scaling,RandomForest,SOLO_A,A,grid,feature_scaling,10,False,43.53711916666666,"[{""model__max_depth"": 2, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 50}, {""model__max_depth"": null, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 100}, {""model__max_depth"": 3, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 50}, {""model__max_depth"": 2, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 50}, {""model__max_depth"": 3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}, {""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}, {""model__max_depth"": 2, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}, {""model__max_depth"": 3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 200}, {""model__max_depth"": 5, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}, {""model__max_depth"": 3, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}]","{""model__max_depth"": 3, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_CT_grid_feature_scaling,XGBoost,SOLO_A,A,grid,feature_scaling,10,False,39.69814353942871,"[{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.01, ""model__max_depth"": 2, ""model__n_estimators"": 100, ""model__reg_lambda"": 10, ""model__subsample"": 0.8}, {""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__n_estimators"": 200, ""model__reg_lambda"": 10, ""model__subsample"": 0.8}, {""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.01, ""model__max_depth"": 2, ""model__n_estimators"": 50, ""model__reg_lambda"": 10, ""model__subsample"": 0.8}, {""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__n_estimators"": 100, ""model__reg_lambda"": 5, ""model__subsample"": 0.8}, {""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__n_estimators"": 200, ""model__reg_lambda"": 5, ""model__subsample"": 0.8}, {""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__n_estimators"": 50, ""model__reg_lambda"": 10, ""model__subsample"": 0.8}, {""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 5, ""model__subsample"": 0.8}, {""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 5, ""model__subsample"": 0.8}, {""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__n_estimators"": 50, ""model__reg_lambda"": 10, ""model__subsample"": 0.8}, {""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 5, ""model__subsample"": 0.8}]","{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 5, ""model__subsample"": 0.8}",NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_CT_grid_feature_scaling,MLP,SOLO_A,A,none,feature_scaling,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_CT_grid_feature_scaling,BNN,SOLO_A,A,none,feature_scaling,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_ST_grouped_scaling,DummyRegressor,SOLO_A,A,none,grouped_scaling,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_ST_grouped_scaling,Ridge,SOLO_A,A,none,grouped_scaling,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_ST_grouped_scaling,Lasso,SOLO_A,A,none,grouped_scaling,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_ST_grouped_scaling,ElasticNet,SOLO_A,A,none,grouped_scaling,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_ST_grouped_scaling,SVR,SOLO_A,A,none,grouped_scaling,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_ST_grouped_scaling,RandomForest,SOLO_A,A,none,grouped_scaling,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_ST_grouped_scaling,XGBoost,SOLO_A,A,none,grouped_scaling,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_ST_grouped_scaling,MLP,SOLO_A,A,none,grouped_scaling,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_ST_grouped_scaling,BNN,SOLO_A,A,none,grouped_scaling,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_CT_random_grouped_scaling,DummyRegressor,SOLO_A,A,none,grouped_scaling,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_CT_random_grouped_scaling,Ridge,SOLO_A,A,random,grouped_scaling,10,False,38.21709670662106,"[{""model__alpha"": 0.01}, {""model__alpha"": 10}, {""model__alpha"": 100}, {""model__alpha"": 0.01}, {""model__alpha"": 100}, {""model__alpha"": 0.01}, {""model__alpha"": 100}, {""model__alpha"": 100}, {""model__alpha"": 10}, {""model__alpha"": 100}]","{""model__alpha"": 10}",NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_CT_random_grouped_scaling,Lasso,SOLO_A,A,random,grouped_scaling,10,False,33.18575329707727,"[{""model__alpha"": 0.001}, {""model__alpha"": 0.001}, {""model__alpha"": 0.001}, {""model__alpha"": 0.001}, {""model__alpha"": 0.01}, {""model__alpha"": 10}, {""model__alpha"": 0.001}, {""model__alpha"": 0.01}, {""model__alpha"": 0.01}, {""model__alpha"": 0.001}]","{""model__alpha"": 0.01}",NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_CT_random_grouped_scaling,ElasticNet,SOLO_A,A,random,grouped_scaling,10,False,29.79408744260661,"[{""model__l1_ratio"": 0.1, ""model__alpha"": 0.1}, {""model__l1_ratio"": 0.5, ""model__alpha"": 1}, {""model__l1_ratio"": 0.9, ""model__alpha"": 1}, {""model__l1_ratio"": 0.7, ""model__alpha"": 0.1}, {""model__l1_ratio"": 0.5, ""model__alpha"": 10}, {""model__l1_ratio"": 0.7, ""model__alpha"": 0.1}, {""model__l1_ratio"": 0.9, ""model__alpha"": 0.01}, {""model__l1_ratio"": 0.3, ""model__alpha"": 10}, {""model__l1_ratio"": 0.3, ""model__alpha"": 1}, {""model__l1_ratio"": 0.3, ""model__alpha"": 10}]","{""model__l1_ratio"": 0.5, ""model__alpha"": 1}",NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
SOLO_A_A_CT_random_grouped_scaling,SVR,SOLO_A,A,random,grouped_scaling,10,False,43.9436538280228,"[{""model__gamma"": ""auto"", ""model__epsilon"": 10, ""model__C"": 100}, {""model__gamma"": ""auto"", ""model__epsilon"": 10, ""model__C"": 100}, {""model__gamma"": ""auto"", ""model__epsilon"": 10, ""model__C"": 100}, {""model__gamma"": ""scale"", ""model__epsilon"": 0.1, ""model__C"": 1}, {""model__gamma"": ""auto"", ""model__epsilon"": 0.1, ""model__C"": 100}, {""model__gamma"": 0.01, ""model__epsilon"": 0.1, ""model__C"": 100}, {""model__gamma"": 0.1, ""model__epsilon"": 0.1, ""model__C"": 0.1}, {""model__gamma"": 0.1, ""model__epsilon"": 0.1, ""model__C"": 0.1}, {""model__gamma"": 0.01, ""model__epsilon"": 0.1, ""model__C"": 100}, {""model__gamma"": ""auto"", ""model__epsilon"": 10, ""model__C"": 100}]","{""model__gamma"": 0.01, ""model__epsilon"": 0.1, ""model__C"": 100}",NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
